,,,,
,,,,
,,,,
,Код материала,Наименование товара,Ед. изм,Фирма
,00-00003996,Прожектор 100w,шт,
,00-00003997,"Кафель Плитки керамогранит 600х600х4  (пачка 1,44м2) А1",м2,
,00-00003998,Прокалывающий ответельный зажим DZK-16-45,шт,
,00-00003999,Шинный изолятор sm-51,шт,
,00-00004000,Шунтирующий конденсатор низкого напряжения BRW ELECTRIC BSMJO,шт,
,00-00004001,Щит Электробокс 4,шт,
,00-00004002,Кран для аристон,шт,
,00-00004003,"Утеплители, теплоизоляция для труб д32",метр,
,00-00004004,"Утеплители, теплоизоляция для труб д25",метр,
,00-00004005,Металлический хомут  лехкий  40-45,шт,
,00-00004006,Металлический хомут  лехкий  25-28,шт,
,00-00004007,"Кабель ПВС 2х1,5мм2",метр,
,00-00004008,"Сталь оцинкованная с в рулонах, ширина Рулона, 0,7х1250",тн,
,00-00004009,Стеллаж Х01,к-т,
,00-00004010,Стул Под кофе 1400х400,шт,
,00-00004011,Шкаф для документ ,шт,
,00-00004012,Короб электричество 40х40 м2,шт,
,00-00004013,Спирт технический,литр,
,00-00004014,Автомат NXL-63 32А,шт,
,00-00004015,Труба из ппр PN-16 ХВС диам 110,метр,
,00-00004016,Тройник переходник диам 90-63-90,шт,
,00-00004017,Тройник переходник диам 110-90-110,шт,
,00-00004018,Заглушка из ппр 90мм,шт,
,00-00004019,Полуотвод диам 50 коричневый,шт,
,00-00004020,Сойдинитель Папа 5х16 электричиество,шт,
,00-00004021,Сойдинитель мама 5х16 электричиество,шт,
,00-00004022,Ром Термо Акфа 2130х780,шт,
,00-00004023,Ром Термо Акфа 2180х780,шт,
,00-00004024,Дюбель гвозд DUBIL MIX 7,кг,
,00-00004025,"Отрезной диск 350х1,6   ZONTIK TOSH 1,6/350 [100]",шт,
,00-00004026,Короб электричество 25х25 м2,шт,
,00-00004027,Трансформатор тока 100-5 Т/Т,шт,
,00-00004028,Тройник сварной 89х4мм,шт,
,00-00004029,Симкарта,шт,
,00-00004030,Зажим пистолет,шт,
,00-00004031,Евич,шт,
,00-00004032,"Труба профиль 15х15х1,5х12000 Гост 8639-82",метр,
,00-00004033,Блок для интернет 01-05 хиквилон,шт,
,00-00004034,Газоблок  600х300х200 (DONGSHEN),м3,
,00-00004035,Анкер болт 36х1350,шт,
,00-00004036,Шайба 10х80х80,шт,
,00-00004037,Шайба 20х400х400,шт,
,00-00004038,Дюбель гвозд 6х80   DUBIL GVOZ MEXTIL 6/80 [1] 4.49KG,кг,
,00-00004039,Дюбель гвозд DUBIL MIX 10,кг,
,00-00004040,Швеллер м24,метр,
,00-00004041,Карчер BECKER,шт,
,00-00004042,Wi-fi роутер,шт,
,00-00004043,Уголов кран для радиатора В/Р 20*1/2,шт,
,00-00004044,Канальный внутр.блок MDV13-36D2VR12D,шт,
,00-00004045,Канальный внутр.блок MDV13-56D2VR12D,шт,
,00-00004046,Канальный внутр.блок MDV13-7 1D2VR12D,шт,
,00-00004047,Наружный блок-MDV-Vi500V2R1A,шт,
,00-00004048,Внутренний блок MDSC-12HRDN8,шт,
,00-00004049,Наружный блок MDOC-12HDN8,шт,
,00-00004050,Эмулься В68Г,литр,
,00-00004051,"Стекло Пакет 144,5х68",шт,
,00-00004052,"Стекло Пакет 134,5х42",шт,
,00-00004053,Стеклянный предохранитель ,шт,
,00-00004054,Пневмораспределитель 4v220-08 220vac,шт,
,00-00004055,Пневмораспределитель 4v220-08 220vac большой,шт,
,00-00004056,Бендикс (спец.техника),шт,
,00-00004057,Масло ZIC X5000 SYSNTHETIC 15w40 20л (KOREA),литр,
,00-00004058,Масло ENERGY UNIVERSAL TRANSMISSON SAE 80w90 20Л,литр,
,00-00004059,Масло VENOL GEAR GL-4 75w90 1L,литр,
,00-00004060,Масло GPN DIESEL EXTRA 15w40 205L,литр,
,00-00004061,"Труба профиль 100х100х5,0х12000 Гост 8639-82",метр,
,00-00004062,Стекло Пакет 2375х600,шт,
,00-00004063,Стекло Пакет 2220х445,шт,
,00-00004064,Стекло Пакет 1870х520,шт,
,00-00004065,Стекло Пакет 1920х520,шт,
,00-00004066,Газоблок  100х300х600 (хитой) Ali jiong,м3,
,00-00004067,Закладные 2х600х630,шт,
,00-00004068,Закладные 2х600х2420,шт,
,00-00004069,Закладные 2х630х2455,шт,
,00-00004070,"Насос APM150 2,2 квт Leo",шт,
,00-00004071,Клей SOMA FIX MDF,шт,
,00-00004072,Шланг дамкрат (спец-техника),шт,
,00-00004073,шотка дворник (спец.техника),шт,
,00-00004074,Стойка дворник (спец.техника),шт,
,00-00004075,Пилот КПП,шт,
,00-00004076,Корпус пилот,шт,
,00-00004077,Шланг тормиз,шт,
,00-00004078,Шланг масла,шт,
,00-00004079,Наждак Алюмен 30 240# [5],метр,
,00-00004080,Бур 20х500  ZONTIK BUR,шт,
,00-00004081,Угл декор универсал,шт,
,00-00004082,CATRON,шт,
,00-00004083,Катушка LX1-D2 36V 50Hz,шт,
,00-00004084,Наканечник 50мм медный,шт,
,00-00004085,Наканечник 50мм,шт,
,00-00004086,Щит 400х400,шт,
,00-00004087,Бур для бетон 6х110  ZONTIK BUR 110/6 [200],шт,
,00-00004088,ARAMCO MULTIPERPOSE LITHIUMEP 0 (00/000) 18кг,литр,
,00-00004089,"Труба канализационая 100мм 0,25м",шт,
,00-00004090,Тайрот 1м,шт,
,00-00004091,"Шина 9,00R20-14 /260 ИН-142БМ Омск",шт,
,00-00004092,ГГУ Ф3000,шт,
,00-00004093,Тройник сварнойник 100,шт,
,00-00004094,Стикер конселярский ,шт,
,00-00004095,Угол с серпянкой 5х5,шт,
,00-00004096,Болт м10х40,кг,
,00-00004097,"Центробежный насос EVN 110 1,5 KW Эпа ",шт,
,00-00004098,Насос автомат Эпа,шт,
,00-00004099,Флешка компютерный,шт,
,00-00004100,Чалька 6т 3м,шт,
,00-00004101,Натижнител кабель ,шт,
,00-00004102,Бочка пустая,шт,
,00-00004103,Стекло Пакет 2335х600,шт,
,00-00004104,Шпаклёвка SUPER SATEN 100 (20кг),шт,
,00-00004105,Асбестоцементная труба 150,шт,
,00-00004106,Асбестоцементная муфта 150,шт,
,00-00004107,Асбестоцементная муфта 200,шт,
,00-00004108,Закладной 16х120х430,шт,
,00-00004109,Кабел UTP,шт,
,00-00004110,"Пиломатериал 50х150х6000мм(1-шт 0,045 м3)",м3,
,00-00004111,"Пиломатериал 50х200*6000 (1-шт 0,060м3)",м3,
,00-00004112,"Пиломатериал 50х200*5700 (1-шт 0,057м3)",м3,
,00-00004113,Компенсатор 110,шт,
,00-00004114,Дубюль 8х195 (зонтик),шт,
,00-00004115,наклейка гознура для н.паталог,шт,
,00-00004116,Плошадка колбцо 80 для н.паталог,шт,
,00-00004117,Отбойник перфоратор CROWN,шт,
,00-00004118,Сварочный аппарат INCO 220W,шт,
,00-00004119,Полировачный аппарат,шт,
,00-00004120,Латун Удлинитель сантехнический 3см,шт,
,00-00004121,"Латун Удлинитель сантехнический 2,5см",шт,
,00-00004122,Латун Удлинитель сантехнический 2см,шт,
,00-00004123,Латун Удлинитель сантехнический 1см,шт,
,00-00004124,Щит распределительный ГРЩ,шт,
,00-00004125,Mufta (Plasmas) kichina,шт,
,00-00004126,Mufta kotta,шт,
,00-00004127,Magnitniy klapan,шт,
,00-00004128,Shkif komplekt,шт,
,00-00004129,Balon,шт,
,00-00004130,Stakan,шт,
,00-00004131,Rolik 20,шт,
,00-00004132,Rolik 25,шт,
,00-00004133,Rolik 31,шт,
,00-00004134,Rolik 65,шт,
,00-00004135,Peli D-3,шт,
,00-00004136,Кабель АВВГ нг 5х25,метр,
,00-00004137,Паялник 220w 60 V набор,шт,
,00-00004138,Стекло Пакет 1470х700,шт,
,00-00004139,Стекло Пакет 1390х460,шт,
,00-00004140,Розводной ключ RAZVODNOY REKORT 10 ,шт,
,00-00004141,"PWBH003 конечный шланг стрелы бетон-са ""5""х4м",шт,
,00-00004142,Стекло Пакет 2280х480,шт,
,00-00004143,Стекло Пакет 1980х600,шт,
,00-00004144,Стекло Пакет 1980х680,шт,
,00-00004145,Лотка камера (спец.техника),шт,
,00-00004146,Камера 12 00 (спец.техника),шт,
,00-00004147,Клей камера (спец.техника),шт,
,00-00004148,Закладние 20х600х600,шт,
,00-00004149,Отсекаюшие кран 15х20 кас,шт,
,00-00004150,Плита перекрытия усиленная ППУ-1500,шт,
,00-00004151,Адаптер- Муфта комбин. В/Р 90*3,шт,
,00-00004152,Закладние 20х800х800,шт,
,00-00004153,Трубка Rokaflex ST 9x035,мт,
,00-00004154,Трубка Rokaflex ST 9x042,мт,
,00-00004155,"Адаптер- Муфта комбин. Н/Р 40*1,1/4",шт,
,00-00004156,Рекор американка Н/Р 40х1 1/4,шт,
,00-00004157,Коронка алмазный для кафеля 75,шт,
,00-00004158,"Насос Shimge PS-01 1,1Кв",шт,
,00-00004159,Асбестоцементная муфта д200,шт,
,00-00004160,Асбестоцементная муфта д150,шт,
,00-00004161,"Труба 114х4,5 с изолация",метр,
,00-00004162,Труба 76х4 с изолация,метр,
,00-00004163,Термо акфа ешик 1560х2460,шт,
,00-00004164,Сварочный Масса 500А,шт,
,00-00004165,Зина ступенка,шт,
,00-00004166,Плащатка,м2,
,00-00004167,Бак Резьба 32,шт,
,00-00004168,Бак Резьба 50,шт,
,00-00004169,Зазем Отвод Мед,шт,
,00-00004170,Задвижка 30ч 39р DN65 PN16(ECO),шт,
,00-00004171,Задвижка 30ч 39р DN400 PN16(ECO),шт,
,00-00004172,Отвод стальной бесшовный 426*10 (400),шт,
,00-00004173,Фланец стальной 200*14 PN16 (ECO),шт,
,00-00004174,Под Ступенка,м2,
,00-00004175,Металический люк 630х530,шт,
,00-00004176,Телефон SAMSUNG GALAXSY TAB A11 +5G,шт,
,00-00004177,Каллектор 10,шт,
,00-00004178,Коллектор кран д32,шт,
,00-00004179,Чихол для ппр труба 32 2мт,шт,
,00-00004180,Амперметр,шт,
,00-00004181,"Труба 1,4 м для бетононасоса",шт,
,00-00004182,"Труба 1,8 м для бетононасоса",шт,
,00-00004183,"Труба 0,6 м для бетононасоса",шт,
,00-00004184,"Труба 2,5 м для бетононасоса",шт,
,00-00004185,"Труба 2,1 м для бетононасоса",шт,
,00-00004186,"Труба 0,66 м для бетононасоса",шт,
,00-00004187,Труба 3 м для бетононасоса,шт,
,00-00004188,Труба 2 м для бетононасоса,шт,
,00-00004189,Труба 1 м для бетононасоса,шт,
,00-00004190,"Труба 0,5 м для бетононасоса",шт,
,00-00004191,"Труба 2,15 м для бетононасоса",шт,
,00-00004192,"Труба 2,2 м для бетононасоса",шт,
,00-00004193,Сейф ,шт,
,00-00004194,Наждак угловой (Совун),шт,
,00-00004195,Юбка для Сушилька,шт,
